old_commit	path_pass_commit	complete_commit	on_branch_or_tag	date_subject	cited_in_files	example_file
758c75fe485c809fdef5a882f6258d9f009a1490	0c19cc173eb82622f5c6bf57e5b0c2ccde35610e	dd66570a3d823406c648cc8c2770859ad84e8ae3	yes	2026-09-13 seal(p4): four predictions, recorded before any G=64 eval exists	3	experiments/rollout-arc/p4/GATE-RESULTS.md
79c4fd151ff7789770e821b13185e3115dfd6f7c	6bac51df153be70e5e32e6fc389ab136e4cf760f	e2050c2fceafedf4ecf1808aa9154902dc26b132	yes	2026-09-25 Merge pull request #44: gate the 0.6.0 publish on the sealed sources and the library evidence	3	datasets/jam-actions-v0-public/RELEASE_NOTES.md
f133b631a85aba75d3efeaba427217d73d67e95c	8a7e4fc5d93c9255b8a83d490bff921264d5e717	dc09ffd135b187c9cd42d6aad65a9c36da233ae2	refs/pull only	2026-05-17 Harden jam-actions v0 public package docs for publication-grade clarity	3	docs/jam-actions-v0-slice11-5-packager-durability.md
fc300257d562a53c585ad45d8d33fe917cd8019e	ade678b20f45516f3e39cb3e05db71959c8be6c6	f6e841d98976e7d5ea247901ab4faab1f3386676	yes	2026-09-12 results(p3): the collapse was the task -- a generative surface clears both substrate gates	3	experiments/rollout-arc/p3/ABC-VALIDATOR-SPEC.md
4f6de001efe30b4c72b820c77255a123ea9191e0	f081512c37e7a28c9228f83cd93bbfaa1d8a6462	eb696bc0bb524f0ecad6350b6559a88c4defdd72	yes	2026-09-14 results(p4): the director was right -- base covers 93% of items, instruct covers 39%	2	experiments/rollout-arc/p4/FORMAT-CLAUSE.md
5fcef5771e54f0a4bf07183eed2408be944fe71d	bdfde45ffc03855866bfbe05f72a11c35b180666	2b8809ef64bab62f195140d16dcea5dc0571c68a	yes	2026-09-12 docs(p2): brief 009 -- first verified citations, and they argue against the sweep	2	experiments/rollout-arc/p2/ARMC-RESULTS.md
7ec619c6f5978db5e4529bbcc5ebe00548d53520	c148578f46d410e0ca0d58ea233b80afcab29ecc	8e6a4cb533dfd23c846b522065e49c500f0ebe00	yes	2026-09-12 feat(p4): the four-arm training run -- and the trainer never wrote its own weights	2	experiments/rollout-arc/HANDOFF.md
9c3ad4436c6d288365c8a999b76d48fa75b05bb6	0613aac33325064520d0f36118a24f8dbbe032fe	e8b4ca5a6079f8cb1fa63d1d8247c708eae95ab9	yes	2026-09-09 dataset: four-draw corpus of the eleven songs	2	docs/handoffs/live-environment-49-grok-to-claude.md
bfc31acf2f31872edb3cceb7ea3210f416c0af9d	b0eaf6f60633886d2703704237ee35a755ee549a	377d06cd008043c351911644f27c1a22a31d89f7	refs/pull only	2026-08-19 fix: replace Satie/Debussy bytes with Mutopia Public Domain — F-acd97421 closed (#28)	2	datasets/jam-actions-v0/PROVENANCE-NOTE.md
c894a6c65d159eb63f67b50fcf4856f683171f9e	bd6b6fff97dfce74ed053358e0563385e657fd90	24089b67d200f83500b5bb936c4f2d80ab9f057f	yes	2026-09-13 swarm(p4): C1-C4 -- the oracle is repaired, DS is withdrawn, and beta is the flag nobody costed	2	experiments/rollout-arc/p4/B0-PREREG.md
d1116ab6be3e419aa0d7de5b36902f8f7f43efa8	4f62ac0de881aa024c6fe086b3dec82a9d1c954f	cdef7ae9438b9b9a9e4c48857737b3400aea32a5	yes	2026-09-14 measure(p4): derive the held-out alphabet instead of inheriting it -- 16 openings, on all 75	2	experiments/rollout-arc/p4/BASE-MODEL-STUDY.md
00fdc46dcdb6434c52b0863cbff38f3568d17357	b8a029655c2046bfa750993e18b4c09d1d4f449f	d427b102df5647f23e253dcbf1d3d5b41a9219cf	refs/pull only	2026-07-23 feat(compose): the deterministic voice-leading admission gate (Phase 2, Slice 1)	1	docs/music-wing-phase2-composition-engine.md
010b37650577834db2eff838559245824bc2ca08	8a035b5060a72f6c7d937c9919269b92da6864d8	e41c42b7ba7363b606c9c06593d4ffdaeb255584	yes	2026-09-13 docs(arc): CLOSE the rollout arc -- the hypothesis failed and the experiment answered	1	experiments/rollout-arc/KICKOFF-research-continuation.md
057a26b90ab3e5e5b7139f503a4251b9989a3963	774bf10fa1ddad1ef8594a174e9cba1c66acca52	cded57a6336e465017f503f5cdf0144c204b59bd	refs/pull only	2026-05-17 Enrich 6 jam-actions v0 record annotations via durable overlay	1	docs/jam-actions-v0-slice11-5-packager-durability.md
08442883c82d42cf91d97431a4a5480539df7ed7	85cb5716da4526858076db7fa66c1331919021de	380bf92689b0715cda8ce176f79cd8adc9e73d4b	yes	2026-09-13 prereg(p4): the replication gate, written before any run exists	1	experiments/rollout-arc/p4/GATE-RESULTS.md
11d673d5e8afeee3b5d58ec6e0393ae8a56a7b7c	b4531d212021d7ca53e5f0fde733511688064b19	a74b53c437f760cfdabcb7d5c3b350e918da47cd	yes	2026-09-12 fix(p2): size --limit from the run, and halt on a prompt repeat nobody chose	1	experiments/rollout-arc/p4/SMOKE-PREREG.md
178bdea20b8b2b351bf80f5c67d9f8baa8f118ad	40b7d1bd08770a5caa1c50dfb8a2d602c2e65848	fdbab9b37e19ea2bc72d49e2d5e26d71b230ccf7	refs/pull only	2026-05-19 Fix Zenodo metadata payload — zenodo-metadata.json already has the metadata envelope, don't double-wrap	1	docs/jam-actions-v0-slice25-publication-execution.md
2477cc4b18c4fbd2a155157ee7ee976b1bfc38a0	c9be7c29440aee51a69e651a414fdeeba8842b17	a8f7226d3b6982c5b695bc84be22d5ca6399c96b	refs/pull only	2026-07-11 fix(dataset): r001 — bach m061-064 window retargeted to m061-062 (working set)	1	experiments/finetune-arc-v1/P0-LOCK.md
269193ff50c37761d008ae0722daa3c641f0cb54	0f422cf34430b726715e51127e73d929e5cfea23	29488b4091d7b5ea5be99989995329d19478240f	yes	2026-09-11 docs: P2 build handoff, grounded in a 5-agent swarm, and a correction to the lock	1	experiments/rollout-arc/p2/BUILD.md
270e84dfeacbb960774a21e5b4b0c4064ff8223f	d0fac327d06c6243421425812b88e99db2e4c403	3f71c2a6ed228dca4545b2f4795c42ed9e64b928	refs/pull only	2026-07-23 feat(compose): the preference scorer — taste behind the gate (Phase 2, Slice 2)	1	docs/music-wing-phase2-composition-engine.md
2a5c7bb7ef21147652347e1bb17f35a1541453e6	9e3b6d766be81cb4884410bea7b1e59005761c60	13ecbb4520cdd9280a4bd5329c4ab4903d14d0ff	refs/pull only	2026-07-09 chore(deps): bump actions/checkout from 6.0.3 to 7.0.0 (#17)	1	docs/feature-pass-v1.5-dispatch.md
2ef7d529fcc06afc970b2479c4306e0e16e5ce3e	1921289d091632da60acffd9593b7aad387b2e5b	711c1d176bdc0a73ad47885aa4763fdeaeafb099	yes	2026-09-11 fix(p2): pin the launch to HEAD, not to a commit predating the stage-0 fixes	1	experiments/rollout-arc/p2/artifacts/repo-commit.txt
32f5f52df267464513bad4613b4ba32de240332c	a9f05f260df28bec43667e2b898eec91be053100	50874a85dcddbd7be26bb93574e9c21fe8f7c2dc	refs/pull only	2026-07-23 feat(analysis): root-compression lever + the honest sweep finding (defaulted off)	1	docs/music-wing-phase1-analysis-engine.md
3350fca1513d53e46df37b56c8ee3a25cb4d572c	3c199058866328c4086d797fe7ddff1d3ef479ef	b556a163b3d94a5934b2269a9401c517802a2390	yes	2026-09-12 fix(p4): freeze the population into git -- the smoke run was VOID because a clone has 14 songs	1	experiments/rollout-arc/p2/briefs/BRIEF-012.md
3b73e75859835a4c9c1b2cd735ac30b5805fe0f8	a8473ec1302cd8eee5556cd162aa1d71aa865e47	0cea8c829cfd7d1037a4a4980efb04aa6a3cf17a	refs/pull only	2026-07-23 feat(compose): honest measurement script for the realization loop (Phase 2, Slice 5)	1	docs/music-wing-phase2-composition-engine.md
3c16f8af9d422e5338a29a0672c134c6a71af385	3b8fadf17fd72cedf1c15979e741958d84195606	4cadfd2608dfb719c7d2ff12dbb01eedc88c0a8d	refs/pull only	2026-08-19 docs(swarm): Stage-D visual audit kickoff — four lenses, audit-only, code-vs-pixels division (Grok paste target)	1	docs/dogfood-swarm-grok-stage-d-amend-kickoff.md
3dca2371e5847b0f710498701b9e0b99897a2b04	a127201f7be0dcaa348a883c35576714f362f191	b623c3c13272ebaeeda7ef0d0d10e9f412d21fbc	refs/pull only	2026-07-23 feat(compose): the propose→verify→best-of-n realization loop (Phase 2, Slice 3)	1	docs/music-wing-phase2-composition-engine.md
3fea54889cc4d75a2dee57060722660b0fdd68f1	a5d65dc1b7666761bf7ceed557070686fc96e2b9	8b5b3cfa913462ae449839e891fe1141117429bc	yes	2026-09-14 fix(p4): the unparseable bucket was competing for the mode, and it would have misled	1	experiments/rollout-arc/p4/BASE-PROBE-RESULTS.md
404b9d985bc577e15e997ca784adfa89b3ec1e0b	e099d95102775dcbfc307330dad66e9d1111b430	231e44ce9730a121c32d84564a1a559a089fe1bb	refs/pull only	2026-07-23 feat(compose): kill membership drift by construction — the voicing-spec decompose (Phase 2, S2 Slice B1a)	1	docs/music-wing-phase2-s2-style-membership-refine.md
40d8cb8e1bdadca450e37f3c0e46a0c47723d18e	7bd859b28fe58bf68ca56fc4bef2b7720d1ea797	89c9abac552d359d6e6bb675cdec890fd8606e21	refs/pull only	2026-07-22 feat(analysis): Phase 1 validation — reference fixture + harness + honest results	1	docs/music-wing-phase1-analysis-engine.md
4319e424b9650238a12284366822bd95e297e308	6f75e8ecf89f3863e4d6a85db934faa906b406d9	2e2b84aef83600c443188d79b24a0867d10800ba	refs/pull only	2026-07-23 feat(compose): part-at-a-time refinement loop — hold-fixed-and-regenerate (Phase 2, S2 Slice B2)	1	docs/music-wing-phase2-s2-style-membership-refine.md
45d34f81dba370bdeb3c50817da851afbecc1343	d74d50b4f2fe16884ae96aeeac38f172e8c2b5dc	aa72cddb65eae1e8d52b0ca8137eee1e63ddb400	refs/pull only	2026-08-19 Merge pull request #32 from mcp-tool-shop-org/feat/cockpit-panel-human-audio	1	docs/dogfood-swarm-grok-panel-b-kickoff.md
4f9f8a2cf8c9f3a713220dad7aa446716ab892fd	51f04a7f44b3eb4933acd749aab54b4cd36fb4b8	ac3a80e2ed83270c1842942fe0cbd6dfc4e24fd8	refs/pull only	2026-07-22 feat(analysis): Phase 1 analyzer — Parncutt root-finding + conservative chord-ID	1	docs/music-wing-phase1-analysis-engine.md
5139ec7d5d8050437f20c821ad1770526d58ac6d	dec70bdc4698a545459368f7d60f145bb57c9f0c	72ff5caf7a8fe947848f888f0bfb6b77de148b26	yes	2026-09-24 Merge pull request #42 from mcp-tool-shop-org/atlas/adopt	1	datasets/jam-actions-v0-public/manifest.json
5648f2c06c21d14ce1d3288af101144b3ef51ff3	8bf7417d54206c51a9abc8127c422fb03bfb7541	37a9f5b55cd84a4f3a13e515c47ed43ef2d01077	yes	2026-09-12 build(p4): prefix forcing runs inside a live GRPO batch -- and a receipt cited a file that said the opposite	1	experiments/rollout-arc/KICKOFF-next-session.md
567703a228b1d7e5d65410f0c6ff14844670cdde	6a3942455ecde0c69f2f00c343caf41916201e89	8962136978a5f379fb1e9058774a5b46cd5906dd	refs/pull only	2026-07-22 docs(e2v2): instrument-redesign design study — study-swarm grounded, oracle+jury verified, spec preregistered pending lock	1	experiments/maker-arc/E2V2-LOCK.md
5f3f0df47583e2f87245cf5cefa39f7cbe49868f	396aa56628d889bbc3c3813ec0fa2e32fc7115f9	093f09d78c2e4bf9027c7a3ea70e9fa52330b5b6	yes	2026-09-13 prereg(p4): B0 (--beta 0.0) vs C -- one lever, own-C on the same pod, pushed before any create	1	experiments/rollout-arc/p4/B0-RESULTS.md
602f0c41a291f747f54689489ad02321a470c4b3	1bad7daed8406ff48f5c069bff64aed1aa9fcc21	cb76778ed8bbb33d341d47189a53e817a9f5c401	yes	2026-09-09 dataset: jam-actions-v1 1.1.0 is the four-draw corpus	1	docs/handoffs/live-environment-51-grok-to-claude.md
637150d83a3eff4e40fe7409d077b61676b409b4	c506515fa72cafe6012d90748ecca01392807dea	9d46563a5065fdc077b41cffad8f9163d244b4e4	refs/pull only	2026-07-09 polish(stage-d): real brand assets from Claude Design	1	docs/feature-pass-v1.5-dispatch.md
6523ab95d91a5155a6321f1813ac6994a7fc2862	be582a96db252d899f374a03d85760efbaa99101	a0b99d221d30d582b7043e068dfdea72bfea04c3	refs/pull only	2026-05-19 Add HF-only push workflow for recovery from partial publish runs	1	docs/jam-actions-v0-slice25-publication-execution.md
67732fb889c60de65e5c7b909527bbdefa7ef292	c96595b8bf2121a7515afc5eed392d032642d6b6	b6dd97e2443471684efe7d27e361cc566c9bdd66	yes	2026-09-11 feat(rollout-arc): P1e kebab-parity re-measure is still a no-go	1	docs/rollout-arc-p1f-kickoff.md
6b3d16e640a3032ece8b1c7adab4eb7a37b2475d	7ce6d12e80c16795fb34b4eee72bf390a500859f	106589b1a0e6b11282ee69bbbfe38b051fc5b733	refs/pull only	2026-07-23 feat(analysis): opt-in HCDF segmentation mode + the honest measured verdict	1	docs/music-wing-phase1-analysis-engine.md
6da8738a8db5fad7400e4caf64cf5c2f9117b66a	b7dcc39579a6d86a58fcc5cb7d4f964d284b0230	3bf43e7bc5c27f41313cec3142a90dffb8b25a13	refs/pull only	2026-05-18 Revise RC gate axes 2 and 6 to admit ceiling-saturated records	1	docs/jam-actions-v0-slice23-operator-aloneness-audit.md
6e960894124f596b1e17dc197e65761996e52477	b99dfd1bf1c371d961e6f7ff26e5c0da67f61a99	9816a32e4cdad3c5ae69289febd0a1d35b23aff4	refs/pull only	2026-08-19 chore(data): LF-pin library JSON and mark mid/wav binary (F-90786bb1)	1	docs/dogfood-swarm-grok-w3-kickoff.md
6edfd89ef44326eebc203d25ebcf373fd298bab9	2566d61fb37b7cecff3710c363eafd18e6d2c046	06b933fa83465ee02fa7ac366160c44932910b32	yes	2026-09-12 docs(arc): the handoff was stale by two findings -- and rho invalidates reasoning, not just numbers	1	experiments/rollout-arc/KICKOFF-next-session.md
707c52bc3e2e8465c2c8dcaf81d1da3b6f822069	84b287bc879a7803d857dc2b3da29ad679643d46	5286e11eaceea5f1971faacdf80ed329c40f1a5b	refs/pull only	2026-07-22 feat(e2v2): Slice 1 — repaired continuation instrument plumbing (score-time gold, Markov foil, conjunctive two-axis gate)	1	experiments/maker-arc/E2V2-LOCK.md
754a943b2c44e270a6b94e6acbcf386ee5b2bb8a	6d29eef9ef39013357f57920b97c38c27ca2020a	f313712e24ad1edfff23de3da39e9639c3c6e3e3	refs/pull only	2026-08-19 fix: Wave 2 health Stage-A amend — 31 findings (25 executor + 6 advisor docs) (#26)	1	docs/dogfood-swarm-grok-w3-kickoff.md
76362e6cfdd26586d4de83a0556cfc3ed9d8ac38	e17f681d60cc0b995c11a498264f2b6d8d65c66c	bf6b80892d284332fb420056f0f61d4b2996f373	yes	2026-09-12 results(p2): arm C closes the matrix -- TRL tool path is fine, the task is the variable	1	experiments/rollout-arc/p2/ARMC-RESULTS.md
7678ff6e19a4a20ab100e762f66d03b5ac972e68	b53e0aca18f649b92ff178b03f9aea6334e460ad	9a9d265b7adf97178d4e558ce3402d290f13e4a1	yes	2026-09-12 docs(p2): correct my own rejection of the algorithmic pivot	1	experiments/rollout-arc/p2/HANDOFF.md
774cedc51c6b60adcdb6d33109b58c76544fbcda	3a4acf96632fd876c4cd378f2abb87045ffa5c0d	d616e03a217a49c22c86b23c95a828550e5de163	refs/pull only	2026-07-11 fix(finetune-arc-v2): stream GGUF hashing in the B-1 runner — readFileSync caps at 2 GiB, artifacts are ~4.7 GB	1	docs/finetune-arc-v2-b1-eval-report.md
8198a74790fece4af76e0a31cfecbbd0c8c96b72	a964738637f369e8201114ac7725c3fa2c6af211	e700a4f8c64bd7c3a09613564ec15f9804fb01dd	refs/pull only	2026-07-22 feat(e2v2): Slice 3 — $0 pre-measurement + E2V2-LOCK.md (ex-ante bars, awaiting director sign-off)	1	docs/maker-arc-e2v2-regate-report.md
9606ba536b120bfbe34794b2b7d10e68ba1de79d	2ebf6f9a13ff076c35cac6dfa6907940209d565a	27aff0316414f0a0b099633cc548d4c505f5d2f0	refs/pull only	2026-07-22 feat(analysis): Phase 1 measurement lib — pooled baseline + proxies + MIREX scoring	1	docs/music-wing-phase1-analysis-engine.md
99c51179bcfa55cafaaa6f2c5bc8d00b5d065dcf	5b60fb43cf9d92e01c11602007f28234a8e7a1c8	ec66ebfbb5e6b55cb461ee94d18aab7ebbacda43	refs/pull only	2026-07-23 feat(compose): the soft style-typicality cost — a corpus-derived scorer axis (Phase 2, S2 Slice A2)	1	docs/music-wing-phase2-s2-style-membership-refine.md
9ed1caf827e46fea87031bdde74dc12991ac9955	f6c7dbae3cdfb3746f639c36e5c00f5ad441f2f0	01117b045db155e721965c782bea5aa3bfe020dc	yes	2026-09-09 ci: receipt does not call an invalid zenodo_newversion_of a new version	1	docs/handoffs/live-environment-47-grok-to-claude.md
a5daec2daa5ec31f466f690d1f08ff4b06f6c8b2	ae71c21a69deae487cc193703b9a26ccefb3e5f5	afe0f569f9b8f054023f056fd0e017b9d41d5294	refs/pull only	2026-05-18 Audit jam-actions v0 operator aloneness and reproducibility gaps	1	docs/jam-actions-v0-slice23-5-reproducibility-cleanup.md
a7a5ddc8c19bb37d6c515e2dcff6f49c011306eb	c5a4832eee334a51527542a818a94370515cd9f8	40944bb337fec76fa3c2429649291ef3c343375e	refs/pull only	2026-08-19 docs(swarm): Phase 9 kickoff — final test, stranger's journeys, PASS/FAIL matrix (Grok paste target)	1	docs/dogfood-swarm-grok-phase9-fix-kickoff.md
aab18b26f75139e1316604e7a3d4e7e4c430c867	642d61053898b86c967d4b003882a05a1f0e568f	eb122d551c68ce48c4f3aa94f8921173c72d72cc	yes	2026-09-12 feat(p2): pod script for the one cell this arc has never run	1	experiments/rollout-arc/p2/LEVELS-G8-RESULTS.md
abd429a8dfb8d8407f5910f9d4a3666a3d614c54	8112b03617062015cc311aa0c6a8b25b78f6a753	47985be0e50afda62a6c1b63ce241c9a0d75e447	refs/pull only	2026-05-16 Add jam-actions v0 local LLM eval runner and baseline gaps	1	docs/jam-actions-v0-slice8-e3-hardening.md
acad688dfc2d3f7ffbd520333ce186f6e0017262	735a9be5156819278a8f6c2afcfbc8fd814dd064	ade0688c19c060d0ccfd0cc2a2057ca5eec10b33	refs/pull only	2026-07-23 feat(compose): the relaxRules style lever + reproducible style-mismatch finding (Phase 2, Slice 6)	1	docs/music-wing-phase2-composition-engine.md
ae5f959be7239cc77776c7465228ae325fb205e8	6f14e1529ebd332955c1eb640cdb7058dcb17867	8d74fbe9d7eddad36141b1280ea736a822d2d1df	refs/pull only	2026-07-09 ci(dataset): retarget HF publishing to the mcp-tool-shop HF namespace	1	docs/feature-pass-v1.5-dispatch.md
ae6969e9ac1aa27f107eb9c331f4462d53f8b6f4	f19872aea7468e0661ee6eb8135520acde2db413	59e573ccd51a93e8b151618031499f61705c4687	refs/pull only	2026-08-19 docs(provenance): resolution addendum — library copies re-sourced to Mutopia PD (F-acd97421)	1	docs/dogfood-swarm-grok-w3-kickoff.md
b015f1dde592767f52d04643e92ab3c7d554238d	0a61840274b4db5855d592d3487cd17fa0110176	ebf705b41eae29fa705ef9080cfbba8f2b1a687c	yes	2026-09-14 docs(hf): the dataset card the viewer could not read	1	docs/findings/published-dataset-licence-audit.md
b04f1046b430c12b340d03005ee5b055999d00a1	3036b709630521f4123904daa1dd278d4a9ac5a7	51b8031ceb1468f0dbfe14fe811c68fde5b64e30	refs/pull only	2026-07-22 feat(e2v2): Slice 2 — E-R Reharmonization Gate runner (the PRIMARY maker-arc instrument)	1	experiments/maker-arc/E2V2-LOCK.md
b62fbc789167863aed792fc91ebd141a15c8a829	03597f3cc8dcd78a13fadeb0260444e12725ac40	0e366ce153bb41c39e2d0e3dcea15fbd660c0de5	refs/pull only	2026-07-11 fix(dataset): r002 — all 16 bach records' prose corrected to BWV 846 ground truth (working set)	1	experiments/finetune-arc-v1/P0-LOCK.md
ba7b088aadee4d17aa61cef342cfe533bc8d97c4	92afb951d492dc9c7b2b6ba7547b81df062ea55e	47e858f9683909f9bc15fa3b0e41ca14232feea1	refs/pull only	2026-07-23 feat(compose): the Ollama realizer proposer + public API (Phase 2, Slice 4)	1	docs/music-wing-phase2-composition-engine.md
bdad5ac6d1afce32b64bbb292cc183a2ae625fe8	7a1ec94d7ce7e82d79f154f99ac2d9fab5e23c0b	ccd1ff8c534d320a5d132d7aa097b5aae0b1579d	refs/pull only	2026-08-19 chore(hygiene): pod-binary gitignores for the v0/v1 arcs + their receipt manifests; cockpit panel kickoff	1	docs/dogfood-swarm-grok-w1-kickoff.md
c123c39bfa308d054237faf8622b4f0b0b596bc3	2046d26806f5823ec62ab6fab3ef7f181fc5f5ed	dedc37329da3539b7e94ad75e0213cdc9c333ca8	refs/pull only	2026-07-23 feat(compose): style-parameterize the voice-leading gate — hard floor + named presets (Phase 2, S2 Slice A1)	1	docs/music-wing-phase2-s2-style-membership-refine.md
c23f53d585f62a28470e1c347c5150dcce5c15ce	39a3821a55c64311ab3b2ebd2da96791cd8532e2	b7554bbc3ad1a6d2c99407b40bb1d6f9bfc34a62	refs/pull only	2026-08-19 Merge pull request #34 from mcp-tool-shop-org/swarm/stage-d-visual-amend	1	docs/dogfood-swarm-grok-phase9-kickoff.md
c2d9515338b692193fac5756fccd5ae2d12d413c	aaf3c9bff20058ff08bf5129b4f59c074637b170	314aa9fed25ffe819450f7d7c1bdee8acb54ce7e	refs/pull only	2026-07-23 feat(analysis): HCDF primitives — tonal centroid + harmonic-change segmentation	1	docs/music-wing-phase1-analysis-engine.md
c8b2823d74b985b610cba747f167e34132aba205	c42a5713d991edf4b85d33ef78b90a429a248d54	326f37ce32cc3212e619a2a2e7b99945a11c3b5f	yes	2026-09-14 results(p4): the two clean pairs agree to 0.02pp, and nobody pinned LoRA init	1	experiments/rollout-arc/p4/BASE-MODEL-STUDY.md
cbddbefa9566ffde5c667f5f82cbea62e98533a7	9f7834c57635fb9c7309dcce422be2c31dc96a1e	d7986d033b16cdda55b5936aa900396be7f1c974	refs/pull only	2026-08-19 Merge pull request #33 from mcp-tool-shop-org/feat/cockpit-panel-llm	1	docs/dogfood-swarm-grok-stage-d-kickoff.md
d038ba2134e0b24403965f22b332bf11df7509bb	fdb62eff637e64b093c54f6c72202a1e293d1d3a	f5c9d0416c6b2aa96d17f957ee6ae770d7c6dc2c	refs/pull only	2026-07-13 fix(finetune-arc-b2): P2 launch fixes — deadman cancel-dir + 1-pod all-5-seeds default	1	docs/finetune-arc-b2-eval-report.md
d2d4088b6740cd168b88cc8256cbbb845e29e36b	84a33947ab7a5445ea1a5adf23f706d055c296c8	dde8385a872d76ccd693207c994e82888335d9d5	yes	2026-09-11 feat(rollout-arc): stage 0 was a false-stall generator, and two more launch-blockers	1	experiments/rollout-arc/p2/BUILD.md
d3c6ccd03836a600a2b1d8ab9d2c86e3b5c9b9b4	56c7f720b3ee416dc7db694721d0eccdb339a6e7	1ab1b808f21d97ed871d43da6a989fe2101e9ed0	yes	2026-07-13 docs(finetune-arc): $0 abstention re-instrument probe executed — arc killed at $0	1	docs/rollout-layer-dispatch.md
